id,name,taxId,gender,dateOfBirth,status,externalCode,isEnriched,enrichedAt,enrichedBy,createdAt,createdBy,updatedAt,updatedBy,customerPhone,customerEmail
5cb51368-eaf4-471b-862d-9530aece17f2,Amanda da Mota,39682405700,M,2006-01-18,2,7edf6e6b-9dfc-43ab-9770-036c14f81df5,True,2024-11-06,Luiz Miguel Ferreira,2023-09-18 00:00:00,Srta. Ana Lívia Pacheco,2023-01-09 00:00:00,Clara da Mata,"[{'number': '+55 51 7700 9398'}, {'number': '+55 41 1076 8848'}]","[{'address': 'hadassa47@example.org'}, {'address': 'piresbruna@example.com'}, {'address': 'matheus40@example.org'}]"
e8ffb9c8-bc93-478f-a8d1-a0ebd365eec0,Ester Pereira,78320946565,O,1991-03-16,2,cbdf635f-97c3-49f4-9232-afe54b8017be,True,2025-07-26,Luiz Gustavo da Cunha,2024-05-07 00:00:00,Agatha Pastor,2021-01-04 00:00:00,Yuri Cunha,"[{'number': '0500-132-6827'}, {'number': '0300 578 6213'}, {'number': '(011) 8544-9923'}]",[{'address': 'limabenjamin@example.org'}]
25bb7638-5d8a-4b94-842f-706c6eb9a6f6,Felipe Pacheco,04673189566,O,1987-10-15,1,527d112e-2a8b-4693-8412-40f844209478,True,2025-02-28,Antony Silveira,2023-12-13 00:00:00,Joana Costela,2023-05-27 00:00:00,Camila Lopes,"[{'number': '+55 51 7855 8578'}, {'number': '51 2465 7018'}]","[{'address': 'marquesyuri@example.com'}, {'address': 'cunhaliz@example.net'}]"
fa72a696-7803-48bb-be4f-9056d5c758e3,Cauã Campos,51048973620,O,1952-07-06,1,7ff73110-d333-4821-9ede-a13dbd043421,True,2024-05-12,,2023-10-02 00:00:00,Dra. Maria Luiza Siqueira,2020-09-07 00:00:00,Dra. Isabelly da Conceição,[{'number': '0900-071-9963'}],"[{'address': 'mcamara@example.net'}, {'address': 'da-rochaluiz-gustavo@example.net'}]"
f124b280-93b3-4f0d-b869-c8d5a4599529,Ana Cecília Leão,64935078200,F,1994-10-31,1,4dfe673a-9157-47e2-842c-279ad27b07ad,False,2023-07-26,,2025-01-17 00:00:00,Ana Carolina Sampaio,2024-07-17 00:00:00,Aurora Macedo,"[{'number': '(041) 1392-0697'}, {'number': '(061) 9973-1328'}]",[{'address': 'marianasouza@example.com'}]
0ce10ee7-f420-49fa-a976-331035880626,Ana Júlia Vargas,02546198785,F,1991-05-02,1,1fd4e271-b14e-423c-989f-6a188bcab488,False,2025-06-22,,2022-11-30 00:00:00,Maysa da Luz,2022-11-15 00:00:00,Srta. Maria Luísa Guerra,"[{'number': '(061) 6739-5845'}, {'number': '+55 11 6251-4659'}]","[{'address': 'abreuguilherme@example.net'}, {'address': 'oliveiradiego@example.org'}]"
473dc524-272b-4be3-a3a7-36733ec75113,Hellena Albuquerque,89031746584,M,1943-12-31,2,69514b9c-685b-4337-8f91-b05d14b3c9af,False,2021-05-09,,2021-02-09 00:00:00,Sarah Freitas,2020-03-24 00:00:00,Gael Henrique Sousa,"[{'number': '0500 656 9540'}, {'number': '41 3141 8783'}]","[{'address': 'ana96@example.com'}, {'address': 'zsouza@example.net'}, {'address': 'pietracosta@example.net'}]"
a03022b9-557d-4cac-8bd6-f2110c8b8889,Maya Ferreira,25349608738,M,2000-10-30,2,c5f1587d-202a-4c1f-bf50-71c02cc8aac3,True,,Yago Souza,2023-08-12 00:00:00,Luiza da Mota,2024-03-23 00:00:00,Gustavo Henrique Costa,"[{'number': '(041) 7602-4738'}, {'number': '+55 61 5347-0628'}]","[{'address': 'vieirarhavi@example.net'}, {'address': 'goncalvesheloisa@example.org'}]"
5f42dac4-e9ad-4e68-9b32-e78e7020de97,Diego Vasconcelos,70368241580,F,1940-01-12,2,40c1e7a0-8845-48f2-ac3b-17cf602e7d2c,True,,,2024-04-22 00:00:00,Kevin Machado,2024-09-12 00:00:00,Ana Carolina Moreira,[{'number': '11 4054-1528'}],[{'address': 'leaofernando@example.org'}]
5a8e00fe-14fd-4111-b63d-854be9d76a67,Isadora Cunha,19650842730,O,1971-05-10,1,898810f0-ca2c-4fe6-bd57-a9004070f4c7,True,2021-06-17,,2021-12-11 00:00:00,Rafael Cavalcante,2025-09-09 00:00:00,Sr. Cauê Cardoso,"[{'number': '(021) 2658 6289'}, {'number': '+55 (081) 1438 4052'}]","[{'address': 'britoheloisa@example.net'}, {'address': 'lgarcia@example.net'}]"
